"Date","Daydemand","Demand1dayago","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","Wind","Raincover","dayofweek"
"2020-06-01","2214","2699","3651","3795","1333","3004.375","2928.03448275862","2268.5737704918","18.8","19","0","Monday"
"2020-06-02","1785","2214","3495","2597","1150","2771.125","2858.72413793103","2269.8087431694","19.1","13.1","0","Tuesday"
"2020-06-03","1698","1785","3810","5559","1216","2546.5","2827.72413793103","2271.30601092896","16.6","21.2","4.17","Wednesday"
"2020-06-04","1937","1698","3298","2959","925","2312.375","2702.8275862069","2273.27595628415","13.2","19.5","8.33","Thursday"
"2020-06-05","2597","1937","3066","1790","1061","2224.75","2690.34482758621","2277.84426229508","12.9","29","16.67","Friday"
"2020-06-06","2156","2597","1802","1536","1328","2111","2702.96551724138","2280.83606557377","10.6","33.7","12.5","Saturday"
"2020-06-07","2617","2156","2699","2736","1541","2212.875","2740.24137931034","2284.35792349727","12.7","16","12.5","Sunday"
"2020-06-08","2406","2617","2214","3278","1306","2176.25","2728.86206896552","2286.72131147541","13","17.6","0","Monday"
"2020-06-09","2070","2406","1785","3190","1111","2158.25","2687.20689655172","2288.8087431694","14.5","13.9","0","Tuesday"
"2020-06-10","2023","2070","1698","3538","1501","2188","2646.96551724138","2291.30054644809","13.4","16.5","8.33","Wednesday"
"2020-06-11","2675","2023","1937","2540","816","2310.125","2617.20689655172","2294.50819672131","14.8","25.4","8.33","Thursday"
"2020-06-12","3027","2675","2597","2205","1225","2446.375","2634","2300.54918032787","16.7","24.9","8.33","Friday"
"2020-06-13","2857","3027","2156","1646","1328","2478.875","2656.48275862069","2305.00819672131","18.5","24.1","4.17","Saturday"
"2020-06-14","2904","2857","2617","2947","1217","2572.375","2699.86206896552","2309.31420765027","18.3","17.6","8.33","Sunday"
"2020-06-15","2638","2904","2406","3521","1159","2575","2689.20689655172","2313.19672131148","18.1","13.4","4.17","Monday"
"2020-06-16","2629","2638","2070","2330","1161","2602.875","2658.44827586207","2317.2131147541","18.5","14.2","12.5","Tuesday"
"2020-06-17","2433","2629","2023","3387","1207","2648.25","2662","2320.68852459016","17.1","16.4","8.33","Wednesday"
"2020-06-18","2592","2433","2675","3319","1264","2719.375","2634.58620689655","2324.47267759563","16.1","18","12.5","Thursday"
"2020-06-19","2740","2592","3027","2641","1107","2727.5","2614.62068965517","2328.50546448087","16.1","26.6","12.5","Friday"
"2020-06-20","3117","2740","2857","2278","1515","2738.75","2631.03448275862","2333.99726775956","17.1","21.2","8.33","Saturday"
"2020-06-21","3331","3117","2904","3086","1698","2798","2667.34482758621","2338.95901639344","18.1","26","8.33","Sunday"
"2020-06-22","2588","3331","2638","3651","1539","2758.5","2650.1724137931","2341.39071038251","17.4","19.2","0","Monday"
"2020-06-23","2400","2588","2629","3495","1522","2728.75","2607.03448275862","2343.74316939891","20.9","13.9","0","Tuesday"
"2020-06-24","2191","2400","2433","3810","1491","2674","2562.06896551724","2345.57103825137","23.6","22","0","Wednesday"
"2020-06-25","2696","2191","2592","3298","1466","2706.875","2523.65517241379","2348.86338797814","24.6","21.6","0","Thursday"
"2020-06-26","3319","2696","2740","3066","1346","2797.75","2524.37931034483","2353.9262295082","23.3","24.6","4.17","Friday"
"2020-06-27","3148","3319","3117","1802","1089","2848.75","2527.20689655172","2358.84972677596","17.6","33.1","12.5","Saturday"
"2020-06-28","3445","3148","3331","2699","1838","2889.75","2583.86206896552","2365.2868852459","16.1","32.1","12.5","Sunday"
"2020-07-01","2007","3445","2588","2214","1233","2724.25","2560","2365.74863387978","17.5","26","12.5","Wednesday"
"2020-07-02","2349","2007","2400","1785","1907","2694.375","2564.65517241379","2368.79781420765","16","21.2","12.5","Thursday"
"2020-07-03","3361","2349","2191","1698","1740","2814.5","2619","2372.77049180328","16.2","31.6","4.17","Friday"
"2020-07-04","3093","3361","2696","1937","1530","2927.25","2667.10344827586","2376.46721311475","17.7","28.5","8.33","Saturday"
"2020-07-05","3864","3093","3319","2597","2148","3073.25","2733.55172413793","2382.84426229508","18.4","38","8.33","Sunday"
"2020-07-06","3204","3864","3148","2156","1416","3058.875","2754.48275862069","2385.72950819672","16","28.5","0","Monday"
