"Date","Daydemand","Demand1dayago","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","Wind","Raincover","dayofweek"
"2020-06-01","822","1030","1299","804","688","1176.375","1108.58064516129","920.524590163934","18.8","19","0","Monday"
"2020-06-02","677","822","1283","838","531","1098.625","1104.48387096774","920.494535519126","19.1","13.1","0","Tuesday"
"2020-06-03","779","677","1379","1744","533","1035.625","1102.58064516129","921.172131147541","16.6","21.2","4.17","Wednesday"
"2020-06-04","666","779","1310","1119","368","946.5","1067.8064516129","921.535519125683","13.2","19.5","8.33","Thursday"
"2020-06-05","1060","666","1509","2456","477","915.25","1065.90322580645","923.426229508197","12.9","29","16.67","Friday"
"2020-06-06","847","1060","779","1072","515","832.5","1014","924.437158469945","10.6","33.7","12.5","Saturday"
"2020-06-07","1024","847","1030","615","954","863.125","1012.45161290323","925.827868852459","12.7","16","12.5","Sunday"
"2020-06-08","970","1024","822","670","814","855.625","1023.90322580645","925.871584699454","13","17.6","0","Monday"
"2020-06-09","846","970","677","991","518","858.625","1029.58064516129","925.959016393443","14.5","13.9","0","Tuesday"
"2020-06-10","910","846","779","1179","610","887.75","1026.96774193548","927.030054644809","13.4","16.5","8.33","Wednesday"
"2020-06-11","1204","910","666","1236","330","940.875","1027.77419354839","928.653005464481","14.8","25.4","8.33","Thursday"
"2020-06-12","1182","1204","1060","1224","470","1005.375","1026.03225806452","930.98087431694","16.7","24.9","8.33","Friday"
"2020-06-13","1225","1182","847","893","500","1026","1026.06451612903","933.043715846995","18.5","24.1","4.17","Saturday"
"2020-06-14","1439","1225","1024","1124","667","1100","1043.67741935484","935.609289617486","18.3","17.6","8.33","Sunday"
"2020-06-15","1264","1439","970","582","580","1130","1048.1935483871","937.24043715847","18.1","13.4","4.17","Monday"
"2020-06-16","1275","1264","846","1063","461","1168.125","1070.54838709677","939.139344262295","18.5","14.2","12.5","Tuesday"
"2020-06-17","1405","1275","910","1267","512","1238","1081.58064516129","941.718579234973","17.1","16.4","8.33","Wednesday"
"2020-06-18","972","1405","1204","844","588","1245.75","1072.06451612903","942.975409836066","16.1","18","12.5","Thursday"
"2020-06-19","1174","972","1182","1244","500","1242","1082.70967741935","944.57650273224","16.1","26.6","12.5","Friday"
"2020-06-20","1311","1174","1225","1146","728","1258.125","1084.87096774194","946.792349726776","17.1","21.2","8.33","Saturday"
"2020-06-21","1438","1311","1439","1028","886","1284.75","1094.29032258065","948.732240437158","18.1","26","8.33","Sunday"
"2020-06-22","1104","1438","1264","801","781","1242.875","1096.74193548387","949.327868852459","17.4","19.2","0","Monday"
"2020-06-23","942","1104","1275","1015","666","1202.625","1101.29032258065","949.767759562842","20.9","13.9","0","Tuesday"
