"Date","Daydemand","Demand1dayago","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","Wind","Raincover","dayofweek"
"2020-06-01","593.149029540158","593.83225504462","462.038819068569","328.260481326039","931.965836674754","544.699699326302","403.070483928627","805.367583757112","18.8","19","0","Monday"
"2020-06-02","600.434126586142","593.149029540158","481.534937161712","301.734433193435","975.569253007278","563.429729393672","411.900102202431","804.439318532086","19.1","13.1","0","Tuesday"
"2020-06-03","590.890713927528","600.434126586142","531.281443445541","292.660989874091","994.01232770655","580.415327882876","421.856758648855","803.411551062439","16.6","21.2","4.17","Wednesday"
"2020-06-04","576.101642534775","590.890713927528","578.653299100987","316.294890886682","994.211094935895","588.930937951732","431.797749450636","802.307108284962","13.2","19.5","8.33","Thursday"
"2020-06-05","566.791478281297","576.101642534775","583.187969190888","330.965401798014","943.389985442306","588.56641558513","440.457974505572","801.161602935918","12.9","29","16.67","Friday"
"2020-06-06","546.912330453168","566.791478281297","582.369172271799","326.568861618213","899.750986898075","586.224059740903","448.318843721682","800.12982620397","10.6","33.7","12.5","Saturday"
"2020-06-07","559.221097407851","546.912330453168","593.83225504462","320.811975456391","856.975888208268","581.158796623955","455.66362601618","799.163144953436","12.7","16","12.5","Sunday"
"2020-06-08","556.398987667066","559.221097407851","593.149029540158","324.830777910752","901.078299387441","576.214345532988","463.610596747896","798.347378403298","13","17.6","0","Monday"
"2020-06-09","563.259088900359","556.398987667066","600.434126586142","330.947700119677","880.970469448697","570.964339551118","471.329537073106","797.403051521872","14.5","13.9","0","Tuesday"
"2020-06-10","542.933180010323","563.259088900359","590.890713927528","368.752930107709","897.873422503827","565.65361988172","479.073250032462","796.532609383384","13.4","16.5","8.33","Wednesday"
"2020-06-11","537.539862009291","542.933180010323","576.101642534775","399.577637096938","923.086080253445","558.802543607834","484.879258362549","795.560170362854","14.8","25.4","8.33","Thursday"
"2020-06-12","530.985875808362","537.539862009291","566.791478281297","392.319873387245","881.3774722281","553.293717818479","489.477999192961","794.503879353966","16.7","24.9","8.33","Friday"
"2020-06-13","598.987288227526","530.985875808362","546.912330453168","371.58788604852","852.43972500529","548.178631750917","494.100199273665","793.543902377473","18.5","24.1","4.17","Saturday"
"2020-06-14","621.188559404773","598.987288227526","559.221097407851","358.029097443668","891.995752504761","555.617911432968","501.680179346298","792.849512139726","18.3","17.6","8.33","Sunday"
"2020-06-15","628.069703464296","621.188559404773","556.398987667066","348.726187699301","943.296177254285","564.470406003957","510.452161411669","792.107574624383","18.1","13.4","4.17","Monday"
