"Date","Daydemand","Demand1dayago","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","Wind","Raincover","dayofweek"
"2020-06-01","1507.30124550045","1491.33471722272","1275.08766396029","891.01454089956","2394.7948930118","1404.98059779977","1126.39760549968","2228.177908151","18.8","19","0","Monday"
"2020-06-02","1552.5711209504","1507.30124550045","1305.17889756426","942.713086809604","2513.91540371062","1438.15396659123","1148.40784494971","2225.74641870576","19.1","13.1","0","Tuesday"
"2020-06-03","1551.11400885536","1552.5711209504","1368.96100780784","953.341778128643","2592.62386333956","1473.49571278925","1170.18848902617","2223.11259875299","16.6","21.2","4.17","Wednesday"
"2020-06-04","1539.60260796983","1551.11400885536","1457.66490702705","941.307600315779","2619.4614770056","1499.51757008175","1191.53749726641","2220.25914709687","13.2","19.5","8.33","Thursday"
"2020-06-05","1530.74234717284","1539.60260796983","1462.59841632435","927.176840284201","2491.81532930504","1511.22295593072","1212.9051761112","2217.30062964746","12.9","29","16.67","Friday"
"2020-06-06","1485.26811245556","1530.74234717284","1474.03857469191","937.959156255781","2386.13379637454","1520.95780319479","1234.46108707151","2214.66755298408","10.6","33.7","12.5","Saturday"
"2020-06-07","1477.24130121","1485.26811245556","1491.33471722272","971.363240630203","2301.32041673708","1522.56202287531","1254.00783550721","2212.19942782266","12.7","16","12.5","Sunday"
"2020-06-08","1465.517171089","1477.24130121","1507.30124550045","1013.92691656718","2409.78837506338","1520.54867773064","1272.07490909935","2209.94167682122","13","17.6","0","Monday"
"2020-06-09","1487.6654539801","1465.517171089","1552.5711209504","1068.63422491046","2367.60953755704","1514.57952424329","1288.20313247513","2207.35463242677","14.5","13.9","0","Tuesday"
"2020-06-10","1436.49890858209","1487.6654539801","1551.11400885536","1043.27080241942","2436.94858380133","1505.30728610467","1303.16853351333","2204.94382671834","13.4","16.5","8.33","Wednesday"
"2020-06-11","1423.44901772388","1436.49890858209","1539.60260796983","1011.54372217748","2519.0537254212","1488.93370035135","1317.21239444771","2202.20286870404","14.8","25.4","8.33","Thursday"
"2020-06-12","1419.6041159515","1423.44901772388","1530.74234717284","1002.18934995973","2425.44835287908","1472.34033031621","1331.92329786008","2199.20121197062","16.7","24.9","8.33","Friday"
"2020-06-13","1525.64370435635","1419.6041159515","1485.26811245556","989.470414963756","2355.10351759117","1456.46344014173","1346.83096807407","2196.4454743352","18.5","24.1","4.17","Saturday"
"2020-06-14","1582.17933392071","1525.64370435635","1477.24130121","989.92337346738","2473.19316583206","1462.23138184185","1365.98001412381","2194.1729816962","18.3","17.6","8.33","Sunday"
"2020-06-15","1613.76140052864","1582.17933392071","1465.517171089","1010.23103612064","2589.57384924885","1477.22252937195","1387.13201271143","2191.73184791014","18.1","13.4","4.17","Monday"
"2020-06-16","1645.78526047578","1613.76140052864","1487.6654539801","1080.30793250858","2698.21646432396","1498.40027643475","1408.68666858314","2189.05838914653","18.5","14.2","12.5","Tuesday"
"2020-06-17","1625.3067344282","1645.78526047578","1436.49890858209","1144.67713925772","2789.99481789157","1520.98882021985","1428.88228743911","2186.1750159853","17.1","16.4","8.33","Wednesday"
"2020-06-18","1601.97606098538","1625.3067344282","1423.44901772388","1141.80942533195","2809.29533610241","1547.96136676929","1446.04763012377","2182.98408972923","16.1","18","12.5","Thursday"
"2020-06-19","1613.97845488684","1601.97606098538","1419.6041159515","1173.12848279875","2692.26580249217","1573.46523009236","1462.48215282568","2179.67636568782","16.1","26.6","12.5","Friday"
"2020-06-20","1683.78060939816","1613.97845488684","1525.64370435635","1222.51563451888","2581.93922224295","1601.23299279741","1478.22679468597","2176.72215377657","17.1","21.2","8.33","Saturday"
"2020-06-21","1686.10254845834","1683.78060939816","1582.17933392071","1247.76407106699","2684.24530001866","1623.82397923196","1494.7005437888","2174.26144524823","18.1","26","8.33","Sunday"
