"Date","Daydemand","Demand1dayago","Demand7daysago","Demand30daysago","Demand365daysago","Meanpast7days","Meanpast30days","Meanpast365days","Tempofday","Wind","Raincover","dayofweek"
"2020-06-01","967.564765016517","972.73862779613","847.367564407206","622.106907081159","1353.99556673259","1681.38512385057","1509.5211996908","1261.59792146247","18.8","19","0","Monday"
"2020-06-02","986.208288514866","967.564765016517","864.430807966486","575.196216373043","1431.79601005933","1684.64661146552","1523.95907972172","1263.55347178197","19.1","13.1","0","Tuesday"
"2020-06-03","980.687459663379","986.208288514866","927.787727169837","555.076594735739","1483.6164090534","1668.33909317611","1535.02317174955","1265.35976843939","16.6","21.2","4.17","Wednesday"
"2020-06-04","969.518713697041","980.687459663379","995.908954452853","610.068935262165","1489.65476814806","1633.8051838585","1540.08418790793","1267.02324365025","13.2","19.5","8.33","Thursday"
"2020-06-05","950.966842327337","969.518713697041","983.418059007568","615.562041735948","1391.08929133325","1589.63895118693","1542.51576911713","1268.65982339481","12.9","29","16.67","Friday"
"2020-06-06","938.270158094603","950.966842327337","975.376253106811","602.105837562354","1314.68036219993","1549.0179132111","1539.15085887209","1270.45274516492","10.6","33.7","12.5","Saturday"
"2020-06-07","953.743142285143","938.270158094603","972.73862779613","592.495253806118","1240.91232597994","1519.11612188999","1535.87577298488","1272.27267612788","12.7","16","12.5","Sunday"
"2020-06-08","940.668828056629","953.743142285143","967.564765016517","592.145728425507","1333.22109338194","1493.5902239867","1535.87486235306","1274.06075098085","13","17.6","0","Monday"
"2020-06-09","962.601945250966","940.668828056629","986.208288514866","602.531155582956","1319.79898404375","1472.11691587375","1537.89737611775","1275.74727862249","14.5","13.9","0","Tuesday"
"2020-06-10","917.841750725869","962.601945250966","980.687459663379","686.17804002466","1354.01908563937","1457.8766528578","1538.70763850598","1277.39967404791","13.4","16.5","8.33","Wednesday"
"2020-06-11","900.357575653282","917.841750725869","969.518713697041","737.660236022194","1419.61717707544","1447.13184471488","1536.18020798871","1278.89203541024","14.8","25.4","8.33","Thursday"
"2020-06-12","890.221818087954","900.357575653282","950.966842327337","720.794212419975","1343.95545936789","1446.63294595768","1532.86552052317","1280.56803734867","16.7","24.9","8.33","Friday"
"2020-06-13","972.399636279159","890.221818087954","938.270158094603","685.214791177977","1298.0599134311","1449.72679421905","1529.53896847086","1282.46657607956","18.5","24.1","4.17","Saturday"
